timestamp,mode,decision_stage,signal_score,funding_zscore,obi,vpin,spread_bps,microprice_pressure,notes
2025-11-17T13:02:37.417537,M3_AGGRESSIVE,OBI -0.0160 too neutral,0.031994981179422934,-0.07998745294855733,-0.015997490589711467,0.3,0.010525124789123418,-8.163828476171868e-08,HOLD
2025-11-17T13:02:37.417733,M4_VERY_AGGRESSIVE,OBI -0.0160 too neutral,0.031994981179422934,-0.07998745294855733,-0.015997490589711467,0.3,0.010525124789123418,-8.163828476171868e-08,HOLD
2025-11-17T13:02:37.417839,M5_ULTRA_AGGRESSIVE,OBI -0.0160 too neutral,0.031994981179422934,-0.07998745294855733,-0.015997490589711467,0.3,0.010525124789123418,-8.163828476171868e-08,HOLD
2025-11-17T13:02:37.417930,M6_SIGNAL_SANDBOX,Already have position,0.031994981179422934,-0.07998745294855733,-0.015997490589711467,0.3,0.010525124789123418,-8.163828476171868e-08,HOLD
2025-11-17T13:02:42.440839,M0_ULTRA_SAFE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.6693401775211207,4.173350443802802,0.8346700887605604,0.3,0.010525124789123418,4.015357807566605e-07,HOLD
2025-11-17T13:02:42.441086,M1_SAFE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.6693401775211207,4.173350443802802,0.8346700887605604,0.3,0.010525124789123418,4.015357807566605e-07,HOLD
2025-11-17T13:02:42.441281,M2_NORMAL,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.6693401775211207,4.173350443802802,0.8346700887605604,0.3,0.010525124789123418,4.015357807566605e-07,HOLD
2025-11-17T13:02:42.441448,M3_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.6693401775211207,4.173350443802802,0.8346700887605604,0.3,0.010525124789123418,4.015357807566605e-07,HOLD
2025-11-17T13:02:42.441520,M4_VERY_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.6693401775211207,4.173350443802802,0.8346700887605604,0.3,0.010525124789123418,4.015357807566605e-07,HOLD
2025-11-17T13:02:42.441582,M5_ULTRA_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.6693401775211207,4.173350443802802,0.8346700887605604,0.3,0.010525124789123418,4.015357807566605e-07,HOLD
2025-11-17T13:02:42.441642,M6_SIGNAL_SANDBOX,Already have position,1.6693401775211207,4.173350443802802,0.8346700887605604,0.3,0.010525124789123418,4.015357807566605e-07,HOLD
2025-11-17T13:02:47.444918,M0_ULTRA_SAFE,BB收窄(0.0000) + 低波動(0.0000),1.8676356086166623,-4.669089021541656,-0.9338178043083312,0.9907440291963564,0.04210207226338417,-2.090484838029891e-06,HOLD
2025-11-17T13:02:47.445178,M1_SAFE,BB收窄(0.0000) + 低波動(0.0000),1.8676356086166623,-4.669089021541656,-0.9338178043083312,0.9907440291963564,0.04210207226338417,-2.090484838029891e-06,HOLD
2025-11-17T13:02:47.445559,M2_NORMAL,BB收窄(0.0000) + 低波動(0.0000),1.8676356086166623,-4.669089021541656,-0.9338178043083312,0.9907440291963564,0.04210207226338417,-2.090484838029891e-06,HOLD
2025-11-17T13:02:47.445626,M3_AGGRESSIVE,BB收窄(0.0000) + 低波動(0.0000),1.8676356086166623,-4.669089021541656,-0.9338178043083312,0.9907440291963564,0.04210207226338417,-2.090484838029891e-06,HOLD
2025-11-17T13:02:47.445684,M4_VERY_AGGRESSIVE,BB收窄(0.0000) + 低波動(0.0000),1.8676356086166623,-4.669089021541656,-0.9338178043083312,0.9907440291963564,0.04210207226338417,-2.090484838029891e-06,HOLD
2025-11-17T13:02:47.445746,M5_ULTRA_AGGRESSIVE,BB收窄(0.0000) + 低波動(0.0000),1.8676356086166623,-4.669089021541656,-0.9338178043083312,0.9907440291963564,0.04210207226338417,-2.090484838029891e-06,HOLD
2025-11-17T13:02:47.445802,M6_SIGNAL_SANDBOX,Already have position,1.8676356086166623,-4.669089021541656,-0.9338178043083312,0.9907440291963564,0.04210207226338417,-2.090484838029891e-06,HOLD
2025-11-17T13:02:52.454285,M0_ULTRA_SAFE,OBI -0.0791 too neutral,0.15826458906202254,-0.39566147265505636,-0.07913229453101127,0.9694464439419566,0.010525889213044402,6.569169390491694e-08,HOLD
2025-11-17T13:02:52.454601,M1_SAFE,OBI -0.0791 too neutral,0.15826458906202254,-0.39566147265505636,-0.07913229453101127,0.9694464439419566,0.010525889213044402,6.569169390491694e-08,HOLD
2025-11-17T13:02:52.455140,M2_NORMAL,OBI -0.0791 too neutral,0.15826458906202254,-0.39566147265505636,-0.07913229453101127,0.9694464439419566,0.010525889213044402,6.569169390491694e-08,HOLD
2025-11-17T13:02:52.455361,M3_AGGRESSIVE,OBI -0.0791 too neutral,0.15826458906202254,-0.39566147265505636,-0.07913229453101127,0.9694464439419566,0.010525889213044402,6.569169390491694e-08,HOLD
2025-11-17T13:02:52.455521,M4_VERY_AGGRESSIVE,OBI -0.0791 too neutral,0.15826458906202254,-0.39566147265505636,-0.07913229453101127,0.9694464439419566,0.010525889213044402,6.569169390491694e-08,HOLD
2025-11-17T13:02:52.455773,M5_ULTRA_AGGRESSIVE,OBI -0.0791 too neutral,0.15826458906202254,-0.39566147265505636,-0.07913229453101127,0.9694464439419566,0.010525889213044402,6.569169390491694e-08,HOLD
2025-11-17T13:02:52.455942,M6_SIGNAL_SANDBOX,Already have position,0.15826458906202254,-0.39566147265505636,-0.07913229453101127,0.9694464439419566,0.010525889213044402,6.569169390491694e-08,HOLD
2025-11-17T13:02:57.474451,M0_ULTRA_SAFE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.8171566653242044,4.542891663310511,0.9085783326621022,0.9554014709530433,0.01052508047647764,4.814955573515704e-07,HOLD
2025-11-17T13:02:57.474698,M1_SAFE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.8171566653242044,4.542891663310511,0.9085783326621022,0.9554014709530433,0.01052508047647764,4.814955573515704e-07,HOLD
2025-11-17T13:02:57.475181,M2_NORMAL,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.8171566653242044,4.542891663310511,0.9085783326621022,0.9554014709530433,0.01052508047647764,4.814955573515704e-07,HOLD
2025-11-17T13:02:57.475268,M3_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.8171566653242044,4.542891663310511,0.9085783326621022,0.9554014709530433,0.01052508047647764,4.814955573515704e-07,HOLD
2025-11-17T13:02:57.475339,M4_VERY_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.8171566653242044,4.542891663310511,0.9085783326621022,0.9554014709530433,0.01052508047647764,4.814955573515704e-07,HOLD
2025-11-17T13:02:57.475407,M5_ULTRA_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.8171566653242044,4.542891663310511,0.9085783326621022,0.9554014709530433,0.01052508047647764,4.814955573515704e-07,HOLD
2025-11-17T13:02:57.475523,M6_SIGNAL_SANDBOX,Already have position,1.8171566653242044,4.542891663310511,0.9085783326621022,0.9554014709530433,0.01052508047647764,4.814955573515704e-07,HOLD
2025-11-17T13:03:02.488143,M0_ULTRA_SAFE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.9662261380323053,2.415565345080763,0.48311306901615264,0.9091681697605083,0.010524504465943899,2.5654906484338033e-07,HOLD
2025-11-17T13:03:02.488498,M1_SAFE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.9662261380323053,2.415565345080763,0.48311306901615264,0.9091681697605083,0.010524504465943899,2.5654906484338033e-07,HOLD
2025-11-17T13:03:02.489136,M2_NORMAL,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.9662261380323053,2.415565345080763,0.48311306901615264,0.9091681697605083,0.010524504465943899,2.5654906484338033e-07,HOLD
2025-11-17T13:03:02.489476,M3_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.9662261380323053,2.415565345080763,0.48311306901615264,0.9091681697605083,0.010524504465943899,2.5654906484338033e-07,HOLD
2025-11-17T13:03:02.489690,M4_VERY_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.9662261380323053,2.415565345080763,0.48311306901615264,0.9091681697605083,0.010524504465943899,2.5654906484338033e-07,HOLD
2025-11-17T13:03:02.489832,M5_ULTRA_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.9662261380323053,2.415565345080763,0.48311306901615264,0.9091681697605083,0.010524504465943899,2.5654906484338033e-07,HOLD
2025-11-17T13:03:02.489960,M6_SIGNAL_SANDBOX,Already have position,0.9662261380323053,2.415565345080763,0.48311306901615264,0.9091681697605083,0.010524504465943899,2.5654906484338033e-07,HOLD
2025-11-17T13:03:07.495470,M0_ULTRA_SAFE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.38633879781420766,0.9658469945355191,0.19316939890710383,0.897804049618891,0.01052532419375446,7.056358929292324e-08,HOLD
2025-11-17T13:03:07.495734,M1_SAFE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.38633879781420766,0.9658469945355191,0.19316939890710383,0.897804049618891,0.01052532419375446,7.056358929292324e-08,HOLD
2025-11-17T13:03:07.495830,M2_NORMAL,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.38633879781420766,0.9658469945355191,0.19316939890710383,0.897804049618891,0.01052532419375446,7.056358929292324e-08,HOLD
2025-11-17T13:03:07.495915,M3_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.38633879781420766,0.9658469945355191,0.19316939890710383,0.897804049618891,0.01052532419375446,7.056358929292324e-08,HOLD
2025-11-17T13:03:07.495989,M4_VERY_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.38633879781420766,0.9658469945355191,0.19316939890710383,0.897804049618891,0.01052532419375446,7.056358929292324e-08,HOLD
2025-11-17T13:03:07.496061,M5_ULTRA_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),0.38633879781420766,0.9658469945355191,0.19316939890710383,0.897804049618891,0.01052532419375446,7.056358929292324e-08,HOLD
2025-11-17T13:03:07.496140,M6_SIGNAL_SANDBOX,Already have position,0.38633879781420766,0.9658469945355191,0.19316939890710383,0.897804049618891,0.01052532419375446,7.056358929292324e-08,HOLD
2025-11-17T13:03:12.508258,M0_ULTRA_SAFE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.1949727137423518,2.9874317843558797,0.5974863568711759,0.8490072374458044,0.010523673792555116,3.280144528849933e-07,HOLD
2025-11-17T13:03:12.508625,M1_SAFE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.1949727137423518,2.9874317843558797,0.5974863568711759,0.8490072374458044,0.010523673792555116,3.280144528849933e-07,HOLD
2025-11-17T13:03:12.509107,M2_NORMAL,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.1949727137423518,2.9874317843558797,0.5974863568711759,0.8490072374458044,0.010523673792555116,3.280144528849933e-07,HOLD
2025-11-17T13:03:12.509245,M3_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.1949727137423518,2.9874317843558797,0.5974863568711759,0.8490072374458044,0.010523673792555116,3.280144528849933e-07,HOLD
2025-11-17T13:03:12.509481,M4_VERY_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.1949727137423518,2.9874317843558797,0.5974863568711759,0.8490072374458044,0.010523673792555116,3.280144528849933e-07,HOLD
2025-11-17T13:03:12.509599,M5_ULTRA_AGGRESSIVE,BB收窄(0.0000) + %B居中(0.50) + 低波動(0.0000),1.1949727137423518,2.9874317843558797,0.5974863568711759,0.8490072374458044,0.010523673792555116,3.280144528849933e-07,HOLD
