timestamp,event_type,current_dir,potential_dir,net_qty,total_qty,dominance,obi,price,prediction_prob,is_high_impact,ma_20,rsi_14,stoch_k,stoch_d,boll_upper,boll_lower,price_change_since_last_flip
2025-11-27T20:58:52.865690,PREDICTION,,LONG,8.3720,8.3720,1.0000,-0.5790,90940.75,0.55,True,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
2025-11-27T20:58:53.197061,DECAY,LONG,LONG,1.9380,14.8060,0.1309,-0.6937,90944.95,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,0.0046
2025-11-27T20:58:57.795309,DECAY,LONG,LONG,3.0340,15.9020,0.1908,0.2571,90941.25,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,0.0005
2025-11-27T20:58:58.087280,DECAY,LONG,LONG,5.7270,18.5950,0.3080,0.2382,90941.25,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,0.0005
2025-11-27T20:59:07.507008,DECAY,LONG,LONG,11.2070,24.0750,0.4655,-0.3663,90941.95,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,0.0013
2025-11-27T20:59:10.896713,DECAY,LONG,LONG,7.2070,28.0750,0.2567,-0.2534,90941.95,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,0.0013
2025-11-27T20:59:14.255692,DECAY,LONG,LONG,8.2800,29.1480,0.2841,0.2919,90942.05,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,0.0014
2025-11-27T20:59:21.651302,DECAY,LONG,LONG,5.8510,26.7190,0.2190,0.8038,90945.65,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,0.0054
2025-11-27T20:59:23.065432,DECAY,LONG,LONG,3.5240,24.3920,0.1445,0.7522,90952.55,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,0.0130
2025-11-27T20:59:27.646889,DECAY,LONG,LONG,12.9900,20.9900,0.6189,0.9112,90953.45,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,0.0140
2025-11-27T20:59:31.081095,DECAY,LONG,LONG,10.3300,18.3300,0.5636,-0.5888,90964.75,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,0.0264
2025-11-27T20:59:36.553238,DECAY,LONG,LONG,9.0390,19.6210,0.4607,-0.4993,90941.55,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,0.0009
2025-11-27T20:59:37.664868,DECAY,LONG,LONG,5.2310,15.8130,0.3308,-0.2875,90940.45,0.00,False,0.00,0.00,0.00,0.00,0.00,0.00,-0.0003
