timestamp,open,high,low,close,volume,close_time,interval
2025-11-29 21:50:00,90969.05,91014.36,90930.92,91012.26,1.45065,2025-11-29 21:54:59.999,5m
2025-11-29 21:55:00,91013.65,91026.3,90992.99,90992.99,0.47042,2025-11-29 21:59:59.999,5m
2025-11-29 22:00:00,91008.69,91008.69,90908.08,90908.08,1.77424,2025-11-29 22:04:59.999,5m
2025-11-29 22:05:00,90892.62,90922.4,90886.01,90904.2,0.55923,2025-11-29 22:09:59.999,5m
2025-11-29 22:10:00,90906.84,90906.85,90742.22,90742.23,1.87011,2025-11-29 22:14:59.999,5m
2025-11-29 22:15:00,90742.23,90821.21,90742.23,90780.23,1.27681,2025-11-29 22:19:59.999,5m
2025-11-29 22:20:00,90779.7,90779.7,90719.22,90750.61,1.16209,2025-11-29 22:24:59.999,5m
2025-11-29 22:25:00,90746.76,90762.48,90710.63,90722.83,3.58122,2025-11-29 22:29:59.999,5m
2025-11-29 22:30:00,90712.48,90790.92,90704.02,90790.91,2.12473,2025-11-29 22:34:59.999,5m
2025-11-29 22:35:00,90790.91,90835.56,90790.91,90835.55,0.96194,2025-11-29 22:39:59.999,5m
2025-11-29 22:40:00,90837.94,90900.94,90796.29,90887.39,3.39889,2025-11-29 22:44:59.999,5m
2025-11-29 22:45:00,90887.39,90915.81,90787.56,90803.81,1.46853,2025-11-29 22:49:59.999,5m
2025-11-29 22:50:00,90803.82,90813.76,90759.6,90811.1,2.39113,2025-11-29 22:54:59.999,5m
2025-11-29 22:55:00,90815.35,90835.56,90744.75,90744.75,1.23934,2025-11-29 22:59:59.999,5m
2025-11-29 23:00:00,90744.75,90802.84,90735.67,90763.83,4.50752,2025-11-29 23:04:59.999,5m
2025-11-29 23:05:00,90769.36,90808.05,90714.86,90714.87,2.0469,2025-11-29 23:09:59.999,5m
2025-11-29 23:10:00,90709.83,90725.52,90690.23,90713.94,0.63795,2025-11-29 23:14:59.999,5m
2025-11-29 23:15:00,90713.94,90765.65,90708.58,90761.99,0.30601,2025-11-29 23:19:59.999,5m
2025-11-29 23:20:00,90765.73,90849.46,90765.73,90849.46,0.32216,2025-11-29 23:24:59.999,5m
2025-11-29 23:25:00,90858.54,90887.8,90828.19,90828.19,0.45085,2025-11-29 23:29:59.999,5m
2025-11-29 23:30:00,90817.31,90860.99,90817.3,90822.67,1.65524,2025-11-29 23:34:59.999,5m
2025-11-29 23:35:00,90817.31,90881.74,90817.3,90881.74,1.0309,2025-11-29 23:39:59.999,5m
2025-11-29 23:40:00,90881.73,90881.74,90820.04,90848.41,2.59685,2025-11-29 23:44:59.999,5m
2025-11-29 23:45:00,90850.76,90851.81,90750.61,90750.62,4.04669,2025-11-29 23:49:59.999,5m
2025-11-29 23:50:00,90750.61,90842.0,90750.61,90822.78,0.63323,2025-11-29 23:54:59.999,5m
2025-11-29 23:55:00,90813.7,90835.56,90795.01,90795.02,0.61474,2025-11-29 23:59:59.999,5m
2025-11-30 00:00:00,90802.44,90835.56,90771.15,90835.56,3.27307,2025-11-30 00:04:59.999,5m
2025-11-30 00:05:00,90839.3,90890.57,90839.3,90890.57,0.90249,2025-11-30 00:09:59.999,5m
2025-11-30 00:10:00,90903.09,90918.08,90850.65,90907.99,0.94229,2025-11-30 00:14:59.999,5m
2025-11-30 00:15:00,90908.0,90945.59,90860.0,90890.56,1.88947,2025-11-30 00:19:59.999,5m
2025-11-30 00:20:00,90881.67,90881.67,90843.74,90847.38,0.47873,2025-11-30 00:24:59.999,5m
2025-11-30 00:25:00,90863.06,90901.01,90863.02,90863.03,0.50928,2025-11-30 00:29:59.999,5m
2025-11-30 00:30:00,90863.02,90882.21,90850.44,90863.03,0.82605,2025-11-30 00:34:59.999,5m
2025-11-30 00:35:00,90863.03,90863.03,90816.5,90834.62,0.34783,2025-11-30 00:39:59.999,5m
2025-11-30 00:40:00,90846.63,90900.0,90846.63,90852.94,0.15164,2025-11-30 00:44:59.999,5m
2025-11-30 00:45:00,90863.05,90863.05,90811.5,90811.51,0.53014,2025-11-30 00:49:59.999,5m
