timestamp,open,high,low,close,volume,close_time,interval
2025-11-29 22:00:00,91008.69,91008.69,90742.22,90742.23,4.20358,2025-11-29 22:14:59.999,15m
2025-11-29 22:15:00,90742.23,90821.21,90710.63,90722.83,6.02012,2025-11-29 22:29:59.999,15m
2025-11-29 22:30:00,90712.48,90900.94,90704.02,90887.39,6.48556,2025-11-29 22:44:59.999,15m
2025-11-29 22:45:00,90887.39,90915.81,90744.75,90744.75,5.099,2025-11-29 22:59:59.999,15m
2025-11-29 23:00:00,90744.75,90808.05,90690.23,90713.94,7.19237,2025-11-29 23:14:59.999,15m
2025-11-29 23:15:00,90713.94,90887.8,90708.58,90828.19,1.07902,2025-11-29 23:29:59.999,15m
2025-11-29 23:30:00,90817.31,90881.74,90817.3,90848.41,5.28299,2025-11-29 23:44:59.999,15m
2025-11-29 23:45:00,90850.76,90851.81,90750.61,90795.02,5.29466,2025-11-29 23:59:59.999,15m
2025-11-30 00:00:00,90802.44,90918.08,90771.15,90907.99,5.11785,2025-11-30 00:14:59.999,15m
2025-11-30 00:15:00,90908.0,90945.59,90843.74,90863.03,2.87748,2025-11-30 00:29:59.999,15m
2025-11-30 00:30:00,90863.02,90900.0,90816.5,90852.94,1.32552,2025-11-30 00:44:59.999,15m
2025-11-30 00:45:00,90863.05,90893.95,90811.5,90893.95,1.00201,2025-11-30 00:59:59.999,15m
