timestamp,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,close_time,fundingRate,sumOpenInterest,sumOpenInterestValue,oi_change_rate,oi_value_change_rate
2019-12-31 16:00:00,7195.0,7222.0,7186.77,7206.24,405.719801,2925266.80689294,4283,212.335556,1530998.6068534101,2019-12-31 16:14:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 16:15:00,7205.77,7223.66,7201.62,7222.24,225.940206,1630277.8115357698,2506,119.72154300000001,863790.5415342201,2019-12-31 16:29:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 16:30:00,7222.37,7225.62,7210.17,7216.67,182.392762,1316517.81762147,2355,82.194327,593281.33890359,2019-12-31 16:44:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 16:45:00,7216.66,7219.28,7208.31,7211.49,177.564957,1280946.40939927,2137,74.126682,534815.56038871,2019-12-31 16:59:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 17:00:00,7212.45,7212.46,7204.05,7206.7,170.288577,1227436.99591119,1819,78.966623,569206.77426525,2019-12-31 17:14:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 17:15:00,7205.91,7213.56,7199.0,7201.72,189.35176,1364085.66910299,2396,92.804325,668694.42286316,2019-12-31 17:29:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 17:30:00,7201.72,7204.48,7161.0,7179.24,643.899017,4623900.42297573,5886,217.05846,1558865.43816349,2019-12-31 17:44:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 17:45:00,7179.24,7179.98,7151.0,7168.12,610.737931,4376171.48585485,4714,324.394935,2324717.32643293,2019-12-31 17:59:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 18:00:00,7167.72,7167.92,7145.01,7159.31,465.743814,3331445.31134797,4304,154.52382599999999,1105440.33539609,2019-12-31 18:14:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 18:15:00,7159.31,7168.96,7146.21,7168.24,484.783004,3468275.59996158,3024,304.34738,2177522.64488036,2019-12-31 18:29:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 18:30:00,7168.22,7174.04,7157.75,7170.73,168.90754,1210072.78598744,1999,97.843127,701044.32553704,2019-12-31 18:44:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 18:45:00,7169.71,7171.91,7156.24,7168.86,169.017556,1210931.85532051,1899,85.981166,615977.12948418,2019-12-31 18:59:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 19:00:00,7169.32,7170.41,7158.62,7159.63,280.73563,2011351.83213523,2233,52.640910999999996,377070.98286611,2019-12-31 19:14:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 19:15:00,7158.72,7182.14,7156.85,7175.55,163.905487,1175842.29994424,2104,92.871312,666276.56019498,2019-12-31 19:29:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 19:30:00,7175.55,7178.93,7168.0,7174.61,160.193588,1149150.3187003,2027,91.706687,657886.52900233,2019-12-31 19:44:59.999,-2.403e-05,,,0.0,0.0
2019-12-31 19:45:00,7173.91,7185.0,7170.03,7173.32,158.790913,1139926.39691696,2360,80.074243,574863.14615376,2019-12-31 19:59:59.999,-2.403e-05,,,0.0,0.0
