timestamp,event_type,current_dir,potential_dir,net_qty,total_qty,dominance,obi,price,prediction_prob,is_high_impact,ma_20,rsi_14,stoch_k,stoch_d,boll_upper,boll_lower,price_change_since_last_flip
2025-11-24T20:35:33.086192,PREDICTION,,SHORT,-7.6320,7.6320,1.0000,-0.4303,86195.20,0.75,True,86199.04,0.00,50.00,50.00,86202.43,86195.65,0.0000
2025-11-24T20:35:35.971988,MONITOR,SHORT,SHORT,-9.8600,9.8600,1.0000,-0.8402,86181.15,0.00,False,86181.15,50.00,50.00,50.00,86181.15,86181.15,-0.0163
2025-11-24T20:35:38.050358,MONITOR,SHORT,SHORT,-11.0610,11.0610,1.0000,-0.8768,86176.15,0.00,False,86176.15,50.00,50.00,50.00,86176.15,86176.15,-0.0221
2025-11-24T20:35:39.107403,MONITOR,SHORT,SHORT,-12.0980,12.0980,1.0000,-0.6798,86170.05,0.00,False,86170.05,50.00,50.00,50.00,86170.05,86170.05,-0.0292
2025-11-24T20:35:39.300239,MONITOR,SHORT,SHORT,-13.1660,13.1660,1.0000,-0.8095,86169.25,0.00,False,86169.94,0.00,50.00,50.00,86170.49,86169.39,-0.0301
2025-11-24T20:35:40.619153,MONITOR,SHORT,SHORT,-14.7730,14.7730,1.0000,-0.6892,86135.25,0.00,False,86135.25,0.00,0.00,0.00,86135.25,86135.25,-0.0696
2025-11-24T20:35:41.482264,MONITOR,SHORT,SHORT,-15.8180,15.8180,1.0000,-0.9084,86122.55,0.00,False,86122.55,0.00,0.00,0.00,86122.55,86122.55,-0.0843
2025-11-24T20:35:42.089049,MONITOR,SHORT,SHORT,-14.0940,17.5420,0.8034,0.8464,86122.85,0.00,False,86122.85,100.00,0.00,0.00,86122.85,86122.85,-0.0839
2025-11-24T20:35:49.500250,DECAY,SHORT,SHORT,-7.2380,24.3980,0.2967,-0.8121,86134.05,0.00,False,86130.26,100.00,50.00,50.00,86134.71,86125.82,-0.0709
2025-11-24T20:35:49.502493,DECAY,SHORT,SHORT,-6.0430,25.5930,0.2361,-0.8121,86134.05,0.00,False,86130.26,100.00,50.00,50.00,86134.71,86125.82,-0.0709
2025-11-24T20:35:53.587663,DECAY,SHORT,SHORT,-4.5620,27.0740,0.1685,0.5592,86141.90,0.00,False,86142.59,47.11,50.00,50.00,86152.13,86133.05,-0.0618
2025-11-24T20:35:53.594235,DECAY,SHORT,SHORT,-2.5250,29.1110,0.0867,0.5592,86143.90,0.00,False,86143.90,60.06,100.00,100.00,86143.90,86143.90,-0.0595
2025-11-24T20:35:55.533202,DECAY,SHORT,LONG,4.6820,36.3180,0.1289,0.6712,86150.45,0.00,False,86150.45,50.00,50.00,50.00,86150.45,86150.45,-0.0519
2025-11-24T20:35:57.185440,DECAY,SHORT,LONG,6.7160,38.3520,0.1751,0.7093,86165.30,0.00,False,86164.53,100.00,0.00,0.00,86166.37,86162.69,-0.0347
2025-11-24T20:35:59.382614,DECAY,SHORT,LONG,14.6230,46.2590,0.3161,-0.7988,86164.45,0.00,False,86164.23,99.99,100.00,100.00,86165.20,86163.26,-0.0357
2025-11-24T20:36:00.653485,DECAY,SHORT,LONG,13.1760,47.7060,0.2762,0.2420,86170.35,0.00,False,86170.35,50.00,50.00,50.00,86170.35,86170.35,-0.0288
2025-11-24T20:36:01.687616,DECAY,SHORT,LONG,15.6150,47.2710,0.3303,-0.8391,86155.55,0.00,False,86155.55,0.00,0.00,0.00,86155.55,86155.55,-0.0460
2025-11-24T20:36:02.126802,DECAY,SHORT,LONG,18.0240,49.6800,0.3628,-0.9719,86150.45,0.00,False,86150.46,48.04,48.27,65.51,86150.52,86150.39,-0.0519
2025-11-24T20:36:04.594597,PREDICTION,SHORT,LONG,26.2570,45.5230,0.5768,0.8080,86169.95,0.75,True,86169.92,86.05,100.00,100.00,86169.97,86169.87,-0.0293
2025-11-24T20:36:04.835400,PREDICTION,SHORT,LONG,24.2240,47.5560,0.5094,0.3325,86176.35,0.75,True,86174.85,100.00,50.00,50.00,86176.23,86173.48,-0.0219
2025-11-24T20:36:04.842111,PREDICTION,SHORT,LONG,27.9390,51.2710,0.5449,0.3325,86180.55,0.75,True,86176.76,100.00,0.00,0.00,86180.71,86172.81,-0.0170
2025-11-24T20:36:06.524441,PREDICTION,SHORT,LONG,33.4710,52.3470,0.6394,0.1514,86181.05,0.75,True,86180.84,100.00,50.00,50.00,86181.24,86180.44,-0.0164
2025-11-24T20:36:06.535936,MONITOR,LONG,LONG,35.3870,54.2630,0.6521,0.1514,86182.45,0.00,False,86182.37,100.00,0.00,0.00,86182.54,86182.20,0.0016
2025-11-24T20:36:14.773211,MONITOR,LONG,LONG,36.6350,49.5670,0.7391,0.2775,86168.90,0.00,False,86170.05,0.00,0.00,0.00,86171.49,86168.62,-0.0141
2025-11-24T20:36:14.781573,MONITOR,LONG,LONG,34.5980,51.6040,0.6705,0.2775,86166.00,0.00,False,86168.40,0.00,0.00,0.00,86170.03,86166.78,-0.0175
2025-11-24T20:36:14.785382,DECAY,LONG,LONG,32.5590,53.6430,0.6070,0.2775,86166.00,0.00,False,86168.40,0.00,0.00,0.00,86170.03,86166.78,-0.0175
2025-11-24T20:36:14.788503,DECAY,LONG,LONG,31.5560,54.6460,0.5775,0.2775,86166.00,0.00,False,86168.40,0.00,0.00,0.00,86170.03,86166.78,-0.0175
2025-11-24T20:36:14.800463,DECAY,LONG,LONG,33.7940,56.8840,0.5941,0.2775,86167.35,0.00,False,86167.35,100.00,0.00,0.00,86167.35,86167.35,-0.0159
2025-11-24T20:36:21.785523,DECAY,LONG,LONG,24.0160,50.5600,0.4750,0.3551,86167.75,0.00,False,86167.75,50.00,50.00,50.00,86167.75,86167.75,-0.0154
2025-11-24T20:36:25.869261,DECAY,LONG,LONG,11.2570,41.8690,0.2689,-0.8522,86141.15,0.00,False,86142.71,0.00,0.00,0.00,86144.05,86141.37,-0.0463
2025-11-24T20:36:25.873897,DECAY,LONG,LONG,9.2230,43.9030,0.2101,-0.8522,86141.15,0.00,False,86142.71,0.00,0.00,0.00,86144.05,86141.37,-0.0463
2025-11-24T20:36:32.120866,DECAY,LONG,LONG,0.8910,32.6770,0.0273,0.2540,86157.25,0.00,False,86157.25,50.00,50.00,50.00,86157.25,86157.25,-0.0276
2025-11-24T20:36:34.959290,DECAY,LONG,SHORT,-4.0550,23.6650,0.1714,0.3334,86157.85,0.00,False,86157.85,100.00,0.00,0.00,86157.85,86157.85,-0.0269
2025-11-24T20:36:42.293619,PREDICTION,LONG,SHORT,-11.3420,20.5120,0.5529,-0.3169,86128.15,0.75,True,86128.15,50.00,50.00,50.00,86128.15,86128.15,-0.0614
