entry_time,exit_time,direction,entry_price,exit_price,pnl_net,pnl_pct,exit_reason,mfe_pct,mae_pct,mfe_time,mae_time,duration_minutes
2025-01-01 14:30:00,2025-01-01 15:00:00,LONG,93976.51,93982.33,-0.2814208891136509,0.006193036962116368,TIME_STOP,0.265034315490123,0.3245811107477803,2025-01-01 14:48:00,2025-01-01 14:33:00,30.0
2025-01-06 11:15:00,2025-01-06 11:45:00,SHORT,99248.69,99259.99,-0.33415662211764074,-0.011385540705880258,TIME_STOP,0.27827067541144124,0.16276285359534073,2025-01-06 11:20:00,2025-01-06 11:37:00,30.0
2025-01-08 13:15:00,2025-01-08 13:45:00,SHORT,95561.77,95384.0,0.258078821687807,0.18602627389593565,TIME_STOP,0.34113014022239774,0.12339662607756036,2025-01-08 13:34:00,2025-01-08 13:28:00,30.0
2025-01-10 14:15:00,2025-01-10 14:45:00,SHORT,94409.6,94115.63,0.6341316984713454,0.3113772328237818,TIME_STOP,0.8893163407111203,0.28721655424870873,2025-01-10 14:37:00,2025-01-10 14:18:00,30.0
2025-01-12 23:15:00,2025-01-12 23:45:00,SHORT,94287.16,94545.06,-1.1205783268898781,-0.27352610896329277,SL_HIT,0.2271359111887594,0.19395005640216054,2025-01-12 23:20:00,2025-01-12 23:38:00,30.0
2025-01-18 15:00:00,2025-01-18 15:30:00,LONG,104134.48,104668.54,1.238568205266875,0.5128560684222917,TIME_STOP,0.20728965084379408,0.35860360564530885,2025-01-18 15:26:00,2025-01-18 15:03:00,30.0
2025-01-18 16:15:00,2025-01-18 16:30:00,LONG,103973.69,103386.0,-1.9956885919889993,-0.5652295306629997,SL_HIT,0.3883386268199234,0.18836496040489265,2025-01-18 16:15:00,2025-01-18 16:19:00,15.0
2025-01-20 16:30:00,2025-01-20 17:00:00,SHORT,106520.89,104231.73,6.1470734332017045,2.1490244777339016,TP_HIT,1.1602325140167336,0.4967194697678555,2025-01-20 16:33:00,2025-01-20 16:43:00,30.0
2025-01-22 14:15:00,2025-01-22 14:45:00,SHORT,104662.98,104393.66,0.47196349654861464,0.2573211655162049,TIME_STOP,0.6243850499957101,0.2732771415451806,2025-01-22 14:45:00,2025-01-22 14:31:00,30.0
2025-01-22 15:15:00,2025-01-22 15:45:00,SHORT,104387.02,104180.01,0.2949302892256412,0.19831009640854705,TIME_STOP,0.3879984312225831,0.7299087568550122,2025-01-22 15:36:00,2025-01-22 15:17:00,30.0
2025-01-23 20:45:00,2025-01-23 21:15:00,SHORT,103284.48,102734.0,1.2989236717849457,0.5329745572616486,TIME_STOP,0.7022158605048879,1.6360734933263912,2025-01-23 20:56:00,2025-01-23 20:45:00,30.0
2025-01-27 13:45:00,2025-01-27 14:15:00,LONG,100483.99,100765.4,0.5401636917482744,0.28005456391609146,TIME_STOP,0.4731798568110215,0.48165881947960587,2025-01-27 13:45:00,2025-01-27 13:53:00,30.0
2025-01-29 14:45:00,2025-01-29 15:15:00,SHORT,102029.93,101990.0,-0.1825932743460874,0.03913557521797086,TIME_STOP,0.43865559841116986,0.49172826052120827,2025-01-29 14:51:00,2025-01-29 15:10:00,30.0
2025-01-31 12:30:00,2025-01-31 13:00:00,LONG,104619.74,104902.05,0.509531738465411,0.2698439128218037,TIME_STOP,0.14653066428953881,0.06311428416855064,2025-01-31 12:46:00,2025-01-31 12:32:00,30.0
2025-02-02 14:00:00,2025-02-02 14:30:00,SHORT,99272.12,99351.33,-0.5393723434132556,-0.07979078113775187,TIME_STOP,0.5703917675979828,0.15097894554886576,2025-02-02 14:01:00,2025-02-02 14:29:00,30.0
2025-02-03 14:00:00,2025-02-03 14:30:00,SHORT,94507.29,96150.84,-5.517216576626002,-1.7390721922086676,SL_HIT,0.3980116242884482,0.38801239565753254,2025-02-03 14:08:00,2025-02-03 14:16:00,30.0
2025-02-04 13:45:00,2025-02-04 14:15:00,LONG,99007.22,99239.99,0.40531219844372174,0.23510406614790724,TIME_STOP,0.5226790531034052,0.4502095907753043,2025-02-04 13:50:00,2025-02-04 14:13:00,30.0
2025-02-05 14:45:00,2025-02-05 15:15:00,LONG,98292.27,98487.99,0.29736131844345787,0.19912043948115263,TIME_STOP,0.7200261017473661,0.5672673954930553,2025-02-05 14:48:00,2025-02-05 15:06:00,30.0
2025-02-05 20:30:00,2025-02-05 21:00:00,SHORT,96903.7,97132.91,-1.0096013877695271,-0.2365337959231757,TIME_STOP,0.03437433245582746,0.8217436485913365,2025-02-05 20:45:00,2025-02-05 20:30:00,30.0
